manifest_id,doc_id,source_domain,event_published_at,event_ts_hour,title,generated_on
38,ZZM_CN_eaf70b8f1298,zzmetro.cn,2024-03-14 16:57:00,2024-03-14 16:00:00,郑州市轨道交通8号线一期工程全线洞通 近日，随着郑州东站—圃田西站区间巨大的盾构刀盘破壁而出，标志着郑州市轨道交通8号线一期工程全线洞通，线路建设取得阶段性成果。... 近日，随着郑州东站—圃田西站区间巨大的盾构刀盘破壁而出，标志着郑州市轨道交通8号线一期工程全线洞通，线路建设取得阶段性成果。,2025-12-24
39,ZZM_CN_79832cbea201,zzmetro.cn,2024-03-07 09:35:00,2024-03-07 09:00:00,7037.83万人次！郑州地铁春运“成绩单”来了！ 3月5日，2024年春运正式落下帷幕。今年春运，郑州地铁提前制定专项运输保障方案，充分挖掘运输潜力，提升客运服务举措，强化设施设备保障，加强线网客流、列车运行和设备运行状态监控，全力做好雨雪恶劣天气运营保障工作。春运期间，郑州地铁线网平安运送乘客达7037.83万人次，日均客运量175.95万人次，较2023年春运同期增长76.9%，最高日客运量,2025-12-24
40,ZZM_CN_e1e8d60d73e1,zzmetro.cn,2024-03-04 17:30:00,2024-03-04 17:00:00,文明交通绿色出行  传承弘扬雷锋精神——郑州地铁1号线农业南路站学习雷锋精神系列活动 为传承弘扬雷锋精神，更好培育时代新风貌， 3月4日，在学雷锋日即将到来之际，郑州地铁1号线农业南路站联合河南省交通事业发展中心、河南省运输事业发展中心、郑州图书馆、河南省第一强制隔离戒毒所、聚源路小学开展“文明交通 绿色出行”学雷锋志愿活动。... 为传承弘扬雷锋精神，更好培育时代新风貌， 3月4日，在学雷锋日即,2025-12-24
41,ZZM_CN_f099ffdf44c2,zzmetro.cn,2024-01-31 10:00:00,2024-01-31 10:00:00,公司荣获首批“郑州市版权示范单位（软件正版化）”称号 近日，在公司党委的领导和全体员工的共同努力下，公司荣获中共郑州市委宣传部、郑州市新闻出版局授予的郑州市首批“郑州市版权示范单位（软件正版化）”称号，这是对公司软件正版化工作的高度认可和肯定。... 近日，在公司党委的领导和全体员工的共同努力下，公司荣获中共郑州市委宣传部、郑州市新闻出版局授予的郑州市首批“郑州市版权示范单位（软件正版化）”称号，,2025-12-24
42,ZZM_CN_8097da784398,zzmetro.cn,2024-01-01 12:45:00,2024-01-01 12:00:00,昨夜今晨：无论多晚，郑州地铁都送您回家！ “尊敬的各位乘客，无论多晚，郑州地铁人都在这里，陪您跨年，送您回家！” ——郑州地铁车站播放的广播。昨夜今晨，郑州地铁延长运营服务时间，细化车站现场客流举措，加强设备运行维护，地铁党员干部冲锋在前，各设备专业员工、志愿者坚守岗位、通宵值守，用心用情守护每一位回家的乘客。... “尊敬的各位乘客，无论多晚，郑州地铁人都在这里，陪您跨年，送您回家！” ——郑州,2025-12-24
43,ZZM_CN_a19c299bb2e9,zzmetro.cn,2024-01-01 10:55:00,2024-01-01 10:00:00,357.81万人次！郑州地铁线网日客运量连续三天，刷新记录！ 12月31日，郑州地铁线网日客运量达357.81万人次，又创单日客运量历史新高！这也是继29、30日之后，第三次刷新历史记录，见证了市民乘客享受生活的幸福表情和城市活力的持续提升！... 12月31日，郑州地铁线网日客运量达357.81万人次，又创单日客运量历史新高！这也是继29、30日之后，第三次刷新历史记录，见证了市民乘客享受生活的,2025-12-24
44,ZZM_CN_27eea154edce,zzmetro.cn,2023-12-30 10:15:00,2023-12-30 10:00:00,266.66万人次！郑州地铁线网日客运量创历史新高！ 12月29日，郑州地铁线网日客运量达266.66万人次，创单日客运量历史新高！... 12月29日，郑州地铁线网日客运量达266.66万人次，创单日客运量历史新高！,2025-12-24
45,ZZM_CN_8dd07ca4307b,zzmetro.cn,2023-12-29 18:05:00,2023-12-29 18:00:00,郑州市轨道交通4号线工程荣获国家“优质工程奖” 12月24日，2022至2023年度国家优质工程奖总结表彰大会在北京召开，郑州市轨道交通4号线工程荣获“国家优质工程奖”。... 12月24日，2022至2023年度国家优质工程奖总结表彰大会在北京召开，郑州市轨道交通4号线工程荣获“国家优质工程奖”。,2025-12-24
46,ZZM_CN_f3074d2f23ac,zzmetro.cn,2023-12-27 20:30:00,2023-12-27 20:00:00,商魏情 郑许梦 郑州机场至许昌市域铁路正式初期运营 12月28日11点58分，郑州机场至许昌市域铁路初期运营。... 12月28日11点58分，郑州机场至许昌市域铁路初期运营。,2025-12-24
47,ZZM_CN_629c0a305a59,zzmetro.cn,2023-12-20 14:30:00,2023-12-20 14:00:00,科创赋能 智此青绿 循梦而行 向阳而生——致社会各界和广大市民的感谢信 尊敬的广大市民和社会各界朋友们：,2025-12-24
