line,seq,station_name,station_id
城郊线,5,小乔,ZZS_5ce22f5450
城郊线,6,华南城西,ZZS_21e3ae133c
城郊线,7,华南城,ZZS_4db99ddb57
城郊线,8,华南城东,ZZS_6e6f33dc37
城郊线,9,孟庄,ZZS_d0e428cc6b
城郊线,10,港区北,ZZS_4c088f0629
城郊线,11,康平湖,ZZS_1d568209e2
城郊线,12,兰河公园,ZZS_4ff5935177
城郊线,13,恩平湖,ZZS_3e49b8e765
城郊线,14,综合保税区,ZZS_2b74f7ecc4
城郊线,15,新郑机场,ZZS_9a0290117b
城郊线,16,机场东,ZZS_a4bd95d57e
城郊线,17,港区会展,ZZS_3258f191b1
城郊线,18,郑州航空港站,ZZS_eef68bcc4f
郑许线,1,长安路北,ZZS_bbbbcdb24d
郑许线,2,港区北,ZZS_4c088f0629
郑许线,3,文体中心,ZZS_1f7dc8a65a
郑许线,4,枣园,ZZS_ebaef5d27b
郑许线,5,翱翔路,ZZS_5d8826907f
郑许线,6,长安路南,ZZS_e951174f12
郑许线,7,新郑机场,ZZS_9a0290117b
郑许线,8,遵大路,ZZS_721efabad4
郑许线,9,苑陵故城西,ZZS_0f8adc1496
郑许线,10,洵美路,ZZS_8fd42d1a04
郑许线,11,龙王,ZZS_45b435a34a
郑许线,12,龙王南,ZZS_8838532f74
郑许线,13,双鹤湖北,ZZS_7af2d857e7
郑许线,14,双鹤湖,ZZS_34a20fb268
郑许线,15,双鹤湖南,ZZS_34069e58e5
郑许线,16,八千,ZZS_6dc0109470
郑许线,17,双庙李,ZZS_f8022f5ac8
郑许线,18,大周,ZZS_8a7aa5c8f9
郑许线,19,颍川路,ZZS_9148507447
郑许线,20,葛天源,ZZS_b07727d50b
郑许线,21,永和路,ZZS_f158b4d09f
郑许线,22,农大路,ZZS_6183e5bf7e
郑许线,23,体育中心,ZZS_c87aa9753c
郑许线,24,电气谷,ZZS_102923cded
郑许线,25,芙蓉湖,ZZS_74b7b3e8db
郑许线,26,鹿鸣湖,ZZS_5c63070ae3
郑许线,27,许昌东,ZZS_559f31d846
