doc_id,station_id,station_name,confidence,match_rule,evidence_span,event_label,event_label_name,event_severity,event_line_mentions
ZZM_CN_866a6d9df8e0,ZZS_7dd13fd23f,黄河路,0.9,exact+line,5号线|黄河路,0,normal_info,0,5号线
ZZM_CN_866a6d9df8e0,ZZS_ff6940526d,郑州东站,0.9,exact+line,5号线|郑州东站,0,normal_info,0,5号线
ZZM_CN_8737de37220c,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_8f042449e8fe,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,1号线
ZZM_CN_8f042449e8fe,ZZS_cc61daaced,市体育中心,0.9,exact+line,1号线|市体育中心,0,normal_info,0,1号线
ZZM_CN_8f042449e8fe,ZZS_d86c49fbed,农业东路,0.9,exact,农业东路,0,normal_info,0,1号线
ZZM_CN_915ab34ffbcc,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_91db0e460c15,ZZS_6b600b7696,刘庄,0.9,exact,刘庄,0,normal_info,0,
ZZM_CN_95dda01126fd,ZZS_45679e4fc0,七里河,0.9,exact,七里河,0,normal_info,0,1号线
ZZM_CN_95dda01126fd,ZZS_d86c49fbed,农业东路,0.9,exact,农业东路,0,normal_info,0,1号线
ZZM_CN_9691f0a9b3b1,ZZS_6c89efbe2c,文苑北路,0.9,exact+line,1号线|文苑北路,0,normal_info,0,1号线
ZZM_CN_96aa7b19260c,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_96aa7b19260c,ZZS_38180914a0,燕庄,0.9,exact+line,1号线|燕庄,0,normal_info,0,1号线
ZZM_CN_97637b67fc1f,ZZS_38180914a0,燕庄,0.9,exact+line,1号线|燕庄,0,normal_info,0,1号线
ZZM_CN_9c6f4ccf90ce,ZZS_45679e4fc0,七里河,0.9,exact,七里河,0,normal_info,0,
ZZM_CN_9cc2281f0863,ZZS_3813354d55,绿城广场,0.9,exact,绿城广场,0,normal_info,0,
ZZM_CN_9cc2281f0863,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,
ZZM_CN_9cc2281f0863,ZZS_cc61daaced,市体育中心,0.9,exact,市体育中心,0,normal_info,0,
ZZM_CN_9dab48cf0182,ZZS_54adf32b6c,南四环,0.9,exact+line,2号线|南四环|城郊线,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9dab48cf0182,ZZS_6b600b7696,刘庄,0.9,exact+line,2号线|刘庄,0,normal_info,0,1号线|2号线|城郊线
ZZM_CN_9e7e88412d37,ZZS_45679e4fc0,七里河,0.9,exact+line,5号线|七里河,0,normal_info,0,5号线
ZZM_CN_a0d00417ff68,ZZS_54adf32b6c,南四环,0.9,exact,南四环,0,normal_info,0,1号线
ZZM_CN_a0d00417ff68,ZZS_9a0290117b,新郑机场,0.9,exact,新郑机场,0,normal_info,0,1号线
ZZM_CN_a3fb2ea56608,ZZS_3813354d55,绿城广场,0.9,exact+line,1号线|绿城广场,0,normal_info,0,1号线
ZZM_CN_a6408978b5b6,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|2号线|紫荆山,0,normal_info,0,1号线|2号线
ZZM_CN_a9fcbea4db5a,ZZS_87213b5129,会展中心,0.9,exact,会展中心,0,normal_info,0,
ZZM_CN_aadd93cc9562,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,2,safety_emergency,3,
ZZM_CN_aeb47391b0d1,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,2,safety_emergency,3,1号线
ZZM_CN_aeb47391b0d1,ZZS_cc61daaced,市体育中心,0.9,exact+line,1号线|市体育中心,2,safety_emergency,3,1号线
ZZM_CN_af2a7f46dd25,ZZS_eef68bcc4f,郑州航空港站,0.9,exact,郑州航空港站,0,normal_info,0,
ZZM_CN_af769af6a70f,ZZS_87213b5129,会展中心,0.9,exact+line,4号线|会展中心,0,normal_info,0,4号线
ZZM_CN_b051516c1997,ZZS_b0ac143899,龙子湖,0.9,exact|mapped_from:龙子湖西,龙子湖西,2,safety_emergency,2,2号线|12号线
ZZM_CN_b051516c1997,ZZS_b0ac143899,龙子湖,0.9,exact+line,12号线|龙子湖,2,safety_emergency,2,2号线|12号线
ZZM_CN_b1a5c2140433,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_b1e75441fb4e,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,3,facility_equipment,0,
ZZM_CN_b660580d13af,ZZS_2f6e9b8cad,贾峪,0.9,exact+line,6号线|贾峪,1,service_disruption,0,6号线
ZZM_CN_b6b510eb853d,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,3,facility_equipment,0,
ZZM_CN_b86eaceeb7b5,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,1号线
ZZM_CN_b9220552b236,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_ba2fb1780f01,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,1,service_disruption,0,1号线
ZZM_CN_ba2fb1780f01,ZZS_cc61daaced,市体育中心,0.9,exact+line,1号线|市体育中心,1,service_disruption,0,1号线
ZZM_CN_bbaade3948cd,ZZS_a14df2d44f,紫荆山,0.9,exact,紫荆山,0,normal_info,0,
ZZM_CN_bc6730deaae4,ZZS_ff6940526d,郑州东站,0.9,exact,郑州东站,0,normal_info,0,
ZZM_CN_bcf7c2c633d3,ZZS_38180914a0,燕庄,0.9,exact+line,1号线|燕庄,0,normal_info,0,1号线
ZZM_CN_bcf7c2c633d3,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_bcf7c2c633d3,ZZS_e4b35b2f4d,郑州大学,0.9,exact+line,1号线|郑州大学,0,normal_info,0,1号线
ZZM_CN_be57297f6ff3,ZZS_abc078ccd5,黄河迎宾馆,0.9,exact,黄河迎宾馆,0,normal_info,0,
ZZM_CN_c04afdf6887c,ZZS_c9109d3d9f,医学院,0.9,exact+line,1号线|医学院,0,normal_info,0,1号线|2号线
ZZM_CN_c0dc1ade6915,ZZS_87213b5129,会展中心,0.9,exact,会展中心,0,normal_info,0,
ZZM_CN_c0de33b96eca,ZZS_0ccbb4888d,二七广场,0.9,exact,二七广场,0,normal_info,0,
ZZM_CN_c14925204dfd,ZZS_bb3c17098a,人民路,0.9,exact+line,1号线|人民路,0,normal_info,0,1号线
ZZM_CN_c1c0afaefcfe,ZZS_388ac52a0a,大学中路,0.9,exact+line,6号线|大学中路,0,normal_info,3,6号线
ZZM_CN_c27e1fe456a2,ZZS_a14df2d44f,紫荆山,0.9,exact+line,2号线|紫荆山,0,normal_info,1,2号线
ZZM_CN_c39dde5e9a6d,ZZS_0660d199a6,农业南路,0.9,exact+line,1号线|农业南路,0,normal_info,0,1号线
ZZM_CN_c39dde5e9a6d,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_c5f90a8b3502,ZZS_d0e428cc6b,孟庄,0.9,exact,孟庄,0,normal_info,0,5号线
ZZM_CN_c61f4191d717,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_c61f4191d717,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_c61f4191d717,ZZS_ff2a277828,民航路,0.9,exact+line,1号线|民航路,0,normal_info,0,1号线
ZZM_CN_c75aea5d0813,ZZS_6605be2a4e,省体育中心,0.9,exact+line,3号线|4号线|省体育中心,0,normal_info,0,3号线|4号线
ZZM_CN_c75aea5d0813,ZZS_c87aa9753c,体育中心,0.9,exact,体育中心,0,normal_info,0,3号线|4号线
ZZM_CN_c8230643b8f5,ZZS_371844c59b,高铁公园,0.9,exact,高铁公园,2,safety_emergency,3,
ZZM_CN_c99ac0fb4c4f,ZZS_54adf32b6c,南四环,0.9,exact,南四环,0,normal_info,0,
ZZM_CN_cb59eb53fee4,ZZS_0ccbb4888d,二七广场,0.9,exact+line,1号线|二七广场,0,normal_info,0,1号线
ZZM_CN_cbdd9649d484,ZZS_38180914a0,燕庄,0.9,exact,燕庄,0,normal_info,0,
ZZM_CN_ce65b9545af1,ZZS_02cf3e4cf5,南三环,0.9,exact+line,2号线|南三环,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_20262a52f0,南五里堡,0.9,exact+line,2号线|南五里堡,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_93b9249040,二里岗,0.9,exact+line,2号线|二里岗,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_9660c27c11,站马屯,0.9,exact+line,2号线|站马屯,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_9f383e1427,花寨,0.9,exact+line,2号线|花寨,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_a14df2d44f,紫荆山,0.9,exact+line,2号线|紫荆山,4,crowd_weather_external,0,2号线
ZZM_CN_ce65b9545af1,ZZS_a7b91da4c7,陇海东路,0.9,exact+line,2号线|陇海东路,4,crowd_weather_external,0,2号线
ZZM_CN_cf2482cc8e6b,ZZS_87213b5129,会展中心,0.9,exact+line,1号线|会展中心,0,normal_info,0,1号线
ZZM_CN_cfde300f9b6d,ZZS_ff6940526d,郑州东站,0.9,exact+line,5号线|郑州东站,0,normal_info,0,5号线
ZZM_CN_d00445c6496e,ZZS_45679e4fc0,七里河,0.9,exact+line,5号线|七里河,0,normal_info,0,5号线
ZZM_CN_d0c0850e023f,ZZS_87213b5129,会展中心,0.9,exact,会展中心,0,normal_info,0,
ZZM_CN_d20a8c25fe0f,ZZS_a14df2d44f,紫荆山,0.9,exact+line,1号线|紫荆山,0,normal_info,0,1号线
ZZM_CN_d50c32fda630,ZZS_54adf32b6c,南四环,0.9,exact,南四环,0,normal_info,0,
ZZM_CN_d5802999245d,ZZS_5d10963dfa,冯湾,0.9,exact+line,6号线|冯湾,0,normal_info,3,6号线
ZZM_CN_d665965840e3,ZZS_54adf32b6c,南四环,0.9,exact,南四环,0,normal_info,0,
ZZM_CN_da2bde5922fd,ZZS_00f55fa149,碧沙岗,0.9,exact+line,1号线|碧沙岗,0,normal_info,0,1号线
ZZM_CN_da2bde5922fd,ZZS_3813354d55,绿城广场,0.9,exact+line,1号线|绿城广场,0,normal_info,0,1号线
ZZM_CN_da2bde5922fd,ZZS_c9109d3d9f,医学院,0.9,exact+line,1号线|医学院,0,normal_info,0,1号线
ZZM_CN_dbba27010fe7,ZZS_02cf3e4cf5,南三环,0.9,exact+line,2号线|南三环,0,normal_info,0,2号线
